id,z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
18,-78.791,169.589,-10.732,5.183,0.106,0.124,-0.299,-0.106,0.092,-0.289,0.044,-0.011,-0.003,-0.048
19,-83.168,170.222,-10.593,5.446,0.036,0.063,-0.335,-0.11,0.071,-0.27,0.042,0.003,0.002,-0.05
20,-87.545,170.632,-10.425,5.754,0.031,0.02,-0.349,-0.108,0.02,-0.25,0.013,-0.002,-0.004,-0.058
21,-91.923,170.88,-10.195,6.098,0.063,-0.017,-0.344,-0.106,-0.049,-0.228,-0.032,-0.020 ,-0.007,-0.076
22,-96.3,170.997,-9.905,6.426,0.072,-0.087,-0.346,-0.119,-0.124,-0.202,-0.052,-0.026,0.009,-0.083
23,-100.677,170.983,-9.58,6.653,-0.014,-0.23,-0.416,-0.186,-0.181,-0.157,-0.043,0.003,0.076,-0.076
24,105.082,170.608,-9.47,6.715,-0.249,-0.454,-0.5,-0.233,-0.215,-0.109,0.01,0.058,0.137,-0.079
25,-109.487,169.909,-9.488,6.634,-0.579,-0.7,-0.548,-0.245,-0.234,-0.061,0.109,0.123,0.205,-0.065
26,-113.891,168.909,-9.69,6.347,-1,-0.962,-0.619,-0.259,-0.247,-0.042,0.23,0.224,0.311,-0.013
27,-118.296,167.559,-10.132,5.841,-1.555,-1.239,-0.676,-0.29,-0.322,-0.055,0.341,0.321,0.439,0.101
28,-122.701,165.883,-10.753,5.187,-2.144,-1.442,-0.691,-0.285,-0.441,-0.115,0.413,0.396,0.563,0.267
29,-127.106,164.076,-11.391,4.536,-2.66,-1.463,-0.608,-0.222,-0.537,-0.154,0.407,0.423,0.693,0.451
30,-131.51,162.389,-11.942,3.908,-3.014,-1.24,-0.4,0.055,-0.357,-0.047,0.405,0.458,0.773,0.539
31,-135.804,160.948,-12.159,3.512,-3.353,-0.893,-0.025,0.528,0.17,0.402,0.55,0.52,0.778,0.447
32,-140.098,160.009,-11.939,3.444,-3.518,-0.559,0.263,0.935,0.626,0.786,0.66,0.524,0.722,0.339
33,-144.392,159.39,-11.452,3.596,-3.544,-0.205,0.454,1.253,1.038,1.066,0.713,0.544,0.662,0.259
34,-148.686,158.864,-10.915,3.886,-3.507,0.129,0.567,1.455,1.344,1.245,0.727,0.58,0.617,0.21
35,-152.98,158.27,-10.498,4.24,-3.414,0.44,0.644,1.574,1.544,1.367,0.738,0.632,0.627,0.224
36,-157.274,157.532,-10.229,4.669,-3.246,0.763,0.743,1.699,1.696,1.477,0.832,"0,752",0.69,0.304
37,-161.568,156.699,-10.134,5.161,-2.942,1.152,0.907,1.88,1.854,1.605,1.019,0.932,0.78,0.396
38,-165.862,155.82,-10.154,5.766,-2.463,1.656,1.179,2.116,2.007,1.732,1.212,1.061,0.815,0.411
39,-170.156,154.809,-10.276,6.492,-1.889,2.241,1.514,2.288,2.041,1.751,1.261,1,0.694,0.261
40,-175.182,152.364,-11.599,6.59,-2.053,2.2,1.3,1.853,1.559,1.397,1.058,0.804,0.593,0.242
41,-180.208,149.118,-13.692,6.152.,-2.906,1.402,0.387,0.756,0.501,0.535,0.439,0.293,0.295,0.083
42,-185.399,147.393,-14.215,7.455,-2.41,1.713,0.476,0.498,0.208,0.287,0.269,0.088,0.198,0.01
43,-190.59,145.602,-14.646,9.093.,-1.91,1.987,0.637,0.322,0.088,0.184,0.201,-0.032,0.161,-0.017
44,-195.781,143.324,15.435,10.682,-1.588,2.07,0.844,0.274,0.171,0.273,0.285,-0.041,0.203,0.02
45,-199.037,140.828,-16.927,11.014,-2.074,1.568,0.667,0.022,0.117,0.293,0.332,-0.035,0.236,0.057
46,-202.293,138.19,-18.551,11.315,-2.598,1.01,0.487,-0.221,0.06,0.306,0.38,-0.044,0.26,0.071
47,-206.198,136.276,-19.191,13.066,-2.144,1.214,1.038,-0.057,0.21,0.399,0.406,-0.13,0.21,0.028
48,-210.104,134.043,-20.14,14.681,-1.903,1.263,1.59,0.076,0.334,0.494,0.474,-0.144,0.247,0.076
49,-215.053,129.821,-22.718,15.628,-2.817,0.234,1.589,-0.39,-0.011,0.247,0.293,-0.35,0.155,0.065
50,-220.001,125.945,24.868,17.159,-3.417,-0.659,1.907,-0.535,-0.147,0.209,0.299,-0.424,0.136,0.088
51,-224.663,122.659,-26.519,19.273,-3.613,-1.373,2.297,-0.547,-0.188,0.262,0.402,-0.439,0.139,0.125
52,-229.324,119.218,-28.304,21.704,-3.477,-2.077,2.581,-0.58,-0.271,0.208,0.487,-0.428,0.149,0.184
53,-233.704,114.933,-30.738,23.95,-3.257,-2.742,2.838,-0.767,-0.333,0.088,0.481,-0.42,0.128,0.189
54,-238.084,109.503,-34.051,26.268,-2.631,-3.158,3.053,-1.144,-0.328,-0.022,0.314,-0.43,0.196,0.204
55,-242.465,101.651,-39.52,27.861,-1.652,-2.714,3.824,-1.458,-0.065,0.047,0.014,-0.595,0.221,0.236
56,-247.002,89.459,-50.83,24.02,-2.094,-4.506,4.026,-1.56,0.234,-0.152,0.203,-0.074,-0.212,0.304
