id,Z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
30,-117.956,169.292,-15.47,6.04,-3.327,-1.218,-0.399,-0.277,-0.29,-0.041,0.366,0.604,0.658,0.554
31,-122.173,168.039,-15.465,5.677,-3.536,-0.957,0.04,0.158,0.05,0.239,0.515,0.68,0.715,0.56
32,-126.39,167.233,-15.015,5.541,-3.613,-0.688,0.412,0.61,0.457,0.557,0.669,0.691,0.683,0.49
33,-130.608,166.775,-14.161,5.613,-3.582,-0.441,0.669,0.993,0.869,0.858,0.791,0.682,0.643,0.406
34,-134.825,166.457,-13.082,5.807,-3.506,-0.219,0.811,1.243,1.205,1.103,0.875,0.677,0.616,0.338
35,-139.042,166.142,-11.961,6.024,-3.389,-0.007,0.84,1.384,1.451,1.276,0.941,0.707,0.649,0.333
36,-143.26,165.658,-10.903,6.254,-3.231,0.253,0.86,1492,1651,1.423,1.035,0.789,0.753,0.402
37,-147.477,164.936,-9.955,6.555,-3.008,0.606,0.941,1.62,1.857,1.579,1.171,0.942,0.889,0.501
38,-151.694,164.049,-9.084,6.961,-2.665,1.06,1.114,1.797,2.055,1.727,1.313,1.084,0.972,0.542
39,-155.911,162.922,-8.394,7.372,-2.277,1.548,1.289,1.922,2.143,1.757,1.321,1.082,0.896,0.418
40,-160.877,160.466,-8.636,7.146,-2.473,1.517,0.974,1.559,1.751,1.403,1.052,0.889,0.723,0.304
41,-165.842,157.184,-9.713,6.4,-3.244,0.901,0.223,0.714,0.825,0.613,0.453,0.42,0.385,0.099
42,-171.1,155.261,-9.601,7.072,-2.667,1.353,0.389,0.657,0.558,0.341,0.267,0.249,0.222,0.006
43,-176.358,153.398,-9.481,8.025,-2.014,1.814,0.64,0.653,0.362,0.185,0.162,0.118,0.134,-0.04
44,-181.616,151.229,-9.605,9.011,-1.508,2.138,0.876,0.664,0.266,0.21,0.228,0.088,0.164,0.014
45,-184.837,148.868,-10.559,9.062,-1.726,1.811,0.629,0.429,0.099,0.18,0.256,0.087,0.209,0.067
46,-188.058,146.263,-11.696,9.094,-2.017,1.393,0.36,0.213,-0.029,0.175,0.317,0.112,0.261,0.114
47,-191.683,144.412,-12.105,10.11,-1.528,1.599,0.659,0.42,0.129,0.303,0.447,0.129,0.268,0.113
48,-195.307,142.41,-12.593,11.214,-1.074,1.731,0.961,0.586,0.222,0.381,0.529,0.104,0.261,0.114
49,-200.256,138.537,-14.301,11.936,-1.345,1.038,0.695,0.259,-0.117,0.072,0.333,-0.133,0.111,0.025
50,-205.205,134.876,-15.896,13.168,-1.386,0.435,0.655,0.18,-0.223,-0.058,0.31,-0.218,0.056,0.033
51,-209.886,131.643,-17.147,14.902,-1.018,0.008,0.77,0.25,-0.174,-0.057,0.39,-0.205,0.065,0.072
52,-214.567,128.251,-18.496,17.024,-0.368,-0.369,0.93,0.26,-0.146,-0.1,0.449,-0.192,0.066,0.123
53,-218.538,124.525,-20.335,18.968,0.398,-0.701,1.022,0.127,-0.148,-0.233,0.43,-0.19,0.012,0.118
54,-222.509,120.033,-23.02,20.724,1.39,-0.857,1.248,-0.018,-0.166,-0.386,0.356,-0.209,-0.033,0.11
55,-226.479,114.117,-27.246,21.755,2.397,-0.668,1.83,-0.031,-0.057,-0.437,0.283,-0.243,-0.1,0.082
56,-231.832,100.322,-39.845,18.883,0.301,-2.472,2.268,-0.405,0.183,-0.32,0.27,-0.128,-0.161,0.179
