id,Z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
20,-82.464,169.928,-8.941,2.964,0.621,-0.172,-0.108,-0.205,0.076,-0.223,-0.081,0.002,-0.013,-0.1
21,-86.587,170.345,-8.743,3.269,0.611,-0.214,-0.149,-0.218,0.048,-0.205,-0.087,-0.011,-0.017,-0.111
22,-90.71,170.564,-8.567,3.573,0.577,-0.278,-0.185,-0.237,0.014,-0.176,-0.08,-0.01,0.011,-0.104
23,-94.833,170.583,-8.411,3.817,0.457,-0.368,-0.246,-0.276,-0.023,-0.136,-0.062,0.016,0.072,-0.093
24,-99.5,170.284,-8.475,4.026,0.234,-0.532,-0.348,-0.278,-0.054,-0.114,-0.006,0.09,0.111,-0.095
25,-104.167,169.731,-8.566,4.207,-0.063,-0.718,-0.408,-0.271,-0.107,-0.092,0.077,0.143,0.148,-0.072
26,-108.833,168.891,-8.71,4.229,-0.462,-0.923,-0.47,-0.287,-0.177,-0.084,0.169,0.216,0.221,-0.013
27,-113.5,167.597,-9.034,4.025,-1.007,-1.181,-0.523,-0.325,-0.284,-0.108,0.276,0.321,0.355,0.092
28,-118.167,165.894,-9.721,3.507,-1.601,-1.395,-0.59,-0.336,-0.428,-0.197,0.368,0.432,0.516,0.292
29,-122.833,163.92,-10.462,2.949,-2.2,-1.444,-0.514,-0.303,-0.539,-0.241,0.36,0.462,0.679,0.515
30,-127.5,162.118,-11.051,2.455,-2.611,-1.232,-0.295,-0.021,-0.328,-0.12,0.333,0.481,0.75,0.596
31,-131.704,160.677,-11.318,2.124,-2.901,-0.956,0.088,0.518,0.192,0.284,0.522,0.539,0.74,0.521
32,-135.907,159.773,-11.102,2.108,-3.041,-0.705,0.364,0.954,0.651,0.619,0.682,0.546,0.676,0.431
33,-140.111,159.183,-10.596,2.306,-3.086,-0.425,0.554,1.251,1.071,0.919,0.774,0.557,0.652,0.318
34,-144.315,158.713,-9.958,2.6607,-3.073,-0.178,0.638,1.426,1.358,1.13,0.846,0.581,0.647,0.273
35,148.519,158.141,-9.411,3.051,-3.036,0.071,0.682,1.511,1.542,1.281,0.893,0.626,0.669,0.287
36,152.722,157.417,-9.012,3.437,-2.919,0.397,0.698,1.592,1.73,1.388,0.953,0.764,0.74,0.33
37,-156.926,156.546,-8.735,3.936,-2.701,0.738,0.805,1.735,1.859,1.541,1.122,0.907,0.834,0.439
38,-161.13,155.629,-8.6,4.508,-2.328,1.192,1.013,1.934,1.991,1.69,1.293,1.031,0.875,0.462
39,-165.333,154.648,-8.559,5.181,-1.839,1.758,1.295,2.109,2.075,1.735,1.313,1.022,0.751,0.297
40,-170.167,152.25,-9.804,5.127,-2.135,1.642,1.019,1.674,1.63,1.406,1.086,0.871,0.661,0.283
41,-175,149.239,-11.61,4.863,-2.86,1.049,0.291,0.749,0.673,0.624,0.457,0.345,0.318,0.069
42,-180,147.459,-12.078,6.111,-2.401,1.471,0.502,0.606,0.398,0.396,0.263,0.139,0.227,-0.006
43,-185,145.712,-12.464,7.636,-1.83,1.857,0.696,0.504,0.23,0.242,0.16,0.004,0.166,-0.053
44,-190,143.554,-13.171,9.217,-1.404,2.057,0.906,0.485,0.241,0.292,0.222,0.004,0.213,0.005
45,-193.333,141.003,-14.576,9.6,-1.83,1.565,0.703,0.243,0.145,0.297,0.273,0.008,0.262,0.054
46,-196.667,138.274,-16.092,9.994,-2.29,1.003,0.507,-0.02,0.027,0.28,0.301,-0.027,0.271,0.065
47,-200.25,136.298,-16.735,11.552,-1.865,1.145,0.952,0.151,0.15,0.377,0.371,-0.073,0.231,0.047
48,-203.833,134.158,-17.48,13.174,-1.513,1.223,1.465,0.329,0.286,0.478,0.462,-0.079,0.228,0.074
49,-208.75,129.735,-19.878,14.164,-2.382,0.159,1.316,-0.138,-0.114,0.171,0.297,-0.307,0.111,0.052
50,-213.667,125.741,-21.965,15.76,-2.776,-0.587,1.574,-0.264,-0.18,0.107,0.379,-0.379,0.074,0.117
51,-217.5,122.9,-23.286,17.459,-2.88,-1.119,1.913,-0.297,-0.199,0.16,0.43,-0.353,0.087,0.152
52,-221.333,119.857,-24.647,19.435,-2.809,-1.697,2.235,-0.347,-0.243,0.186,0.436,-0.329,0.126,0.171
53,-225.889,115.56,-26.665,21.898,-2.563,-2.489,2.439,-0.483,-0.302,0.168,0.356,-0.344,0.138,0.189
54,-230.444,110.112,-29.75,24.25,-1.906,-3.052,2.504,-0.887,-0.365,0.221,0.214,-0.326,0.144,0.124
55,-235,103.296,-34.527,25.807,-0.895,-2.854,3..198,-1.249,-0.592,0.051,-0.174,-0.353,0.208,0.131
56,238.824,-90.23,-46.156,25.058,-1.947,-3.987,4.41,-1.567,-0.19,0.381,-0.143,-0.25,0.095,0.066
