id,Z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
30,-123.940 ,165.988 ,-13.125 ,4.676 ,-3.231 ,-1.146 ,-0.358 ,-0.079 ,-0.340 ,-0.051 ,0.381 ,0.519 ,0.716 ,0.561 
31,-128.192 ,164.637 ,-13.229 ,4.265 ,-3.486 ,-0.865 ,0.043 ,0.400 ,0.117 ,0.313 ,0.543 ,0.567 ,0.734 ,0.520 
32,-132.445 ,163.767 ,-12.852 ,4.171 ,-3.621 ,-0.577 ,0.336 ,0.794 ,0.566 ,0.660 ,0.662 ,0.575 ,0.691 ,0.425 
33,-136.698 ,163.193 ,-12.184 ,4.282 ,-3.660 ,-0.276 ,0.543 ,1.110 ,0.983 ,0.975 ,0.743 ,0.577 ,0.651 ,0.336 
34,-140.951 ,162.751 ,-11.408 ,4.506 ,-3.620 ,0.000 ,0.624 ,1.327 ,1.310 ,1.199 ,0.797 ,0.595 ,0.624 ,0.281 
35,-145.203 ,162.238 ,-10.679 ,4.791 ,-3.536 ,0.261 ,0.647 ,1.453 ,1.540 ,1.352 ,0.840 ,0.650 ,0.644 ,0.283 
36,-149.456 ,161.561 ,-10.096 ,5.131 ,-3.373 ,0.550 ,0.694 ,1.575 ,1.724 ,1.487 ,0.929 ,0.766 ,0.729 ,0.355 
37,-153.709 ,160.744 ,-9.646 ,5.549 ,-3.101 ,0.912 ,0.817 ,1.742 ,1.908 ,1.642 ,1.087 ,0.943 ,0.847 ,0.450 
38,-157.961 ,159.815 ,-9.309 ,6.095 ,-2.695 ,1.388 ,1.046 ,1.953 ,2.081 ,1.792 ,1.243 ,1.086 ,0.907 ,0.470 
39,-162.214 ,158.747 ,-9.129 ,6.720 ,-2.197 ,1.920 ,1.318 ,2.140 ,2.135 ,1.813 ,1.286 ,1.066 ,0.793 ,0.332 
40,-167.154 ,156.383 ,-10.060 ,6.679 ,-2.347 ,1.885 ,1.081 ,1.790 ,1.695 ,1.473 ,1.080 ,0.897 ,0.677 ,0.288 
41,-172.094 ,153.188 ,-11.813 ,6.104 ,-3.144 ,1.188 ,0.232 ,0.815 ,0.674 ,0.617 ,0.453 ,0.381 ,0.324 ,0.088 
42,-177.291 ,151.336 ,-12.188 ,7.140 ,-2.630 ,1.604 ,0.373 ,0.643 ,0.356 ,0.334 ,0.252 ,0.162 ,0.189 ,-0.005 
43,-182.488 ,149.501 ,-12.515 ,8.508 ,-2.042 ,1.977 ,0.577 ,0.549 ,0.167 ,0.196 ,0.176 ,0.026 ,0.135 ,-0.036 
44,-187.685 ,147.234 ,-13.183 ,9.884 ,-1.631 ,2.160 ,0.779 ,0.531 ,0.163 ,0.257 ,0.267 ,0.011 ,0.189 ,0.011 
45,-191.051 ,144.738 ,-14.559 ,10.129 ,-2.019 ,1.714 ,0.565 ,0.304 ,0.065 ,0.263 ,0.330 ,0.024 ,0.246 ,0.065 
46,-194.418 ,142.141 ,-16.012 ,10.437 ,-2.415 ,1.245 ,0.382 ,0.092 ,-0.028 ,0.262 ,0.379 ,0.009 ,0.269 ,0.082 
47,-198.015 ,140.332 ,-16.576 ,11.865 ,-1.981 ,1.436 ,0.800 ,0.279 ,0.111 ,0.365 ,0.460 ,-0.030 ,0.247 ,0.059 
48,-201.612 ,138.337 ,-17.283 ,13.284 ,-1.636 ,1.533 ,1.219 ,0.434 ,0.227 ,0.439 ,0.532 ,-0.057 ,0.245 ,0.071 
49,-206.530 ,134.253 ,-19.602 ,14.269 ,-2.281 ,0.602 ,1.096 ,0.028 ,-0.113 ,0.141 ,0.351 ,-0.273 ,0.124 ,0.027 
50,-211.448 ,130.467 ,-21.621 ,15.876 ,-2.683 ,-0.211 ,1.281 ,-0.122 ,-0.219 ,0.039 ,0.356 ,-0.355 ,0.091 ,0.058 
51,-216.105 ,127.164 ,-23.203 ,18.087 ,-2.634 ,-0.907 ,1.610 ,-0.108 ,-0.184 ,0.033 ,0.461 ,-0.348 ,0.091 ,0.117 
52,-220.762 ,123.532 ,-24.952 ,20.750 ,-2.216 ,-1.587 ,1.870 ,-0.178 ,-0.168 ,-0.008 ,0.537 ,-0.335 ,0.080 ,0.167 
53,-224.841 ,119.666 ,-27.124 ,23.016 ,-1.696 ,-2.136 ,2.047 ,-0.389 ,-0.224 ,-0.101 ,0.541 ,-0.341 ,0.043 ,0.184 
54,-228.920 ,114.731 ,-30.201 ,25.225 ,-0.854 ,-2.425 ,2.346 ,-0.649 ,-0.293 ,-0.253 ,0.454 ,-0.351 ,0.010 ,0.198 
55,-232.999 ,108.107 ,-34.921 ,26.808 ,0.219 ,-2.169 ,3.131 ,-0.731 ,-0.217 ,-0.393 ,0.255 ,-0.418 ,-0.074 ,0.178 
56,-237.388 ,93.010 ,-48.110 ,22.410 ,-1.464 ,-3.769 ,3.320 ,-0.901 ,0.135 ,-0.191 ,0.383 ,-0.226 ,-0.093 ,0.267 
